Versão,Tamanho,Tempo Médio (s),Intervalo de Confiança (s)
mandelbrot_seq,16,0.00102,0.000341
mandelbrot_seq,32,0.0066,0.00103
mandelbrot_seq,64,0.00892,0.000515
mandelbrot_seq,128,0.04519,0.00548
mandelbrot_seq,256,0.1764,0.0153
mandelbrot_seq,512,0.7614,0.0276
mandelbrot_seq,1024,2.7901,0.0932
mandelbrot_seq,2048,4.42279,0.00144
mandelbrot_seq,4096,17.64969,0.00457
mandelbrot_seq,8192,70.5377,0.0509
mandelbrot_pth,16,0.0010619,6.11e-05
mandelbrot_pth,32,0.0011797,2.2e-05
mandelbrot_pth,64,0.002157,2.51e-05
mandelbrot_pth,128,0.006402,0.000124
mandelbrot_pth,256,0.0223228,5.1e-05
mandelbrot_pth,512,0.085679,0.000102
mandelbrot_pth,1024,0.338531,0.000304
mandelbrot_pth,2048,1.55488,0.00588
mandelbrot_pth,4096,6.11431,0.00425
mandelbrot_pth,8192,24.5778,0.0612
mandelbrot_omp,16,0.0009521,4.38e-05
mandelbrot_omp,32,0.001237,5.02e-05
mandelbrot_omp,64,0.002257,3.31e-05
mandelbrot_omp,128,0.0064418,2.88e-05
mandelbrot_omp,256,0.026345,0.000229
mandelbrot_omp,512,0.100258,0.00075
mandelbrot_omp,1024,0.3877,0.00132
mandelbrot_omp,2048,1.53965,0.00631
mandelbrot_omp,4096,6.098,0.00712
mandelbrot_omp,8192,24.2987,0.0106
