Tamanho da Imagem,Threads,Tempo Médio (s),Intervalo de Confiança (s)
16,2,0.001123,2.63e-05
32,2,0.0015635,5.26e-05
64,2,0.003698,0.000179
128,2,0.0106183,4.97e-05
256,2,0.038998,0.000145
512,2,0.150647,0.000432
1024,2,0.59989,0.00233
2048,2,2.36392,0.00868
4096,2,9.462,0.0182
8192,2,37.619,0.0948
16,4,0.0010147,3.88e-05
32,4,0.0012199,4.53e-05
64,4,0.0022968,4.69e-05
128,4,0.0062481,5.45e-05
256,4,0.022564,0.00023
512,4,0.086317,0.000257
1024,4,0.39015,0.00124
2048,4,1.52742,0.00305
4096,4,6.07024,0.00513
8192,4,24.233,0.0426
16,8,0.00324,0.00103
32,8,0.002647,0.000925
64,8,0.003057,0.000757
128,8,0.00696,0.00158
256,8,0.02076,0.00162
512,8,0.077275,0.000922
1024,8,0.28787,0.00131
2048,8,1.13142,0.00506
4096,8,4.4531,0.0104
8192,8,17.6533,0.0238
16,16,0.0013361,3.31e-05
32,16,0.0015528,3.48e-05
64,16,0.0022035,5.66e-05
128,16,0.0049576,5.83e-05
256,16,0.019147,0.000131
512,16,0.073741,0.000224
1024,16,0.28913,0.00384
2048,16,1.12709,0.00146
4096,16,4.46859,0.00337
8192,16,17.8232,0.0139
16,32,0.0019172,3.69e-05
32,32,0.0020829,4.4e-05
64,32,0.0027606,4.44e-05
128,32,0.0060467,2.85e-05
256,32,0.019953,0.000134
512,32,0.073607,0.0003
1024,32,0.28509,0.000671
2048,32,1.13654,0.00558
4096,32,4.49588,0.00887
8192,32,17.9109,0.0112
